TicketId ,WorkoutDT ,WorkoutType 
1,2022-01-02 09:00:00,Classical Pilates
11,2022-01-02 09:00:00,Classical Pilates
9,2022-01-02 09:00:00,Classical Pilates
22,2022-01-02 09:00:00,Classical Pilates
3,2022-01-02 09:00:00,Classical Pilates
2,2022-01-02 09:00:00,Classical Pilates
20,2022-01-02 09:00:00,Classical Pilates
28,2022-01-02 09:00:00,Classical Pilates
14,2022-01-02 09:00:00,Classical Pilates
7,2022-01-02 12:00:00,Mat Pilates
20,2022-01-02 12:00:00,Mat Pilates
3,2022-01-02 12:00:00,Mat Pilates
8,2022-01-02 12:00:00,Mat Pilates
29,2022-01-02 12:00:00,Mat Pilates
13,2022-01-02 12:00:00,Mat Pilates
9,2022-01-02 12:00:00,Mat Pilates
17,2022-01-02 12:00:00,Mat Pilates
2,2022-01-02 16:00:00,Reformer Pilates
7,2022-01-02 16:00:00,Reformer Pilates
12,2022-01-02 16:00:00,Reformer Pilates
20,2022-01-02 16:00:00,Reformer Pilates
8,2022-01-02 16:00:00,Reformer Pilates
5,2022-01-02 18:00:00,Prenatal Pilates
21,2022-01-02 18:00:00,Prenatal Pilates
2,2022-01-02 18:00:00,Prenatal Pilates
9,2022-01-02 18:00:00,Prenatal Pilates
16,2022-01-03 09:00:00,Classical Pilates
29,2022-01-03 09:00:00,Classical Pilates
13,2022-01-03 09:00:00,Classical Pilates
25,2022-01-03 09:00:00,Classical Pilates
2,2022-01-03 09:00:00,Classical Pilates
26,2022-01-03 09:00:00,Classical Pilates
20,2022-01-03 09:00:00,Classical Pilates
9,2022-01-03 09:00:00,Classical Pilates
19,2022-01-03 12:00:00,Mat Pilates
13,2022-01-03 12:00:00,Mat Pilates
16,2022-01-03 12:00:00,Mat Pilates
14,2022-01-03 12:00:00,Mat Pilates
3,2022-01-03 12:00:00,Mat Pilates
24,2022-01-03 12:00:00,Mat Pilates
12,2022-01-03 16:00:00,Reformer Pilates
14,2022-01-03 16:00:00,Reformer Pilates
23,2022-01-03 16:00:00,Reformer Pilates
7,2022-01-03 16:00:00,Reformer Pilates
15,2022-01-03 16:00:00,Reformer Pilates
16,2022-01-03 16:00:00,Reformer Pilates
4,2022-01-03 18:00:00,Prenatal Pilates
24,2022-01-03 18:00:00,Prenatal Pilates
18,2022-01-03 18:00:00,Prenatal Pilates
14,2022-01-04 09:00:00,Classical Pilates
9,2022-01-04 09:00:00,Classical Pilates
16,2022-01-04 09:00:00,Classical Pilates
12,2022-01-04 09:00:00,Classical Pilates
7,2022-01-04 12:00:00,Mat Pilates
24,2022-01-04 12:00:00,Mat Pilates
4,2022-01-04 12:00:00,Mat Pilates
13,2022-01-04 12:00:00,Mat Pilates
16,2022-01-04 12:00:00,Mat Pilates
3,2022-01-04 12:00:00,Mat Pilates
27,2022-01-04 12:00:00,Mat Pilates
29,2022-01-04 16:00:00,Reformer Pilates
14,2022-01-04 16:00:00,Reformer Pilates
24,2022-01-04 16:00:00,Reformer Pilates
23,2022-01-04 16:00:00,Reformer Pilates
12,2022-01-04 16:00:00,Reformer Pilates
7,2022-01-04 16:00:00,Reformer Pilates
10,2022-01-04 18:00:00,Prenatal Pilates
4,2022-01-04 18:00:00,Prenatal Pilates
8,2022-01-04 18:00:00,Prenatal Pilates
9,2022-01-04 18:00:00,Prenatal Pilates
14,2022-01-05 09:00:00,Classical Pilates
16,2022-01-05 09:00:00,Classical Pilates
6,2022-01-05 09:00:00,Classical Pilates
29,2022-01-05 09:00:00,Classical Pilates
20,2022-01-05 09:00:00,Classical Pilates
24,2022-01-05 09:00:00,Classical Pilates
13,2022-01-05 09:00:00,Classical Pilates
3,2022-01-05 09:00:00,Classical Pilates
24,2022-01-05 12:00:00,Mat Pilates
4,2022-01-05 12:00:00,Mat Pilates
14,2022-01-05 12:00:00,Mat Pilates
9,2022-01-05 12:00:00,Mat Pilates
8,2022-01-05 12:00:00,Mat Pilates
13,2022-01-05 12:00:00,Mat Pilates
20,2022-01-05 16:00:00,Reformer Pilates
14,2022-01-05 16:00:00,Reformer Pilates
16,2022-01-05 16:00:00,Reformer Pilates
24,2022-01-05 16:00:00,Reformer Pilates
13,2022-01-05 16:00:00,Reformer Pilates
9,2022-01-05 16:00:00,Reformer Pilates
14,2022-01-05 18:00:00,Prenatal Pilates
23,2022-01-05 18:00:00,Prenatal Pilates
13,2022-01-05 18:00:00,Prenatal Pilates
4,2022-01-05 18:00:00,Prenatal Pilates
19,2022-01-05 18:00:00,Prenatal Pilates
16,2022-01-05 18:00:00,Prenatal Pilates
3,2022-01-05 18:00:00,Prenatal Pilates
2,2022-01-05 18:00:00,Prenatal Pilates
3,2022-01-06 09:00:00,Classical Pilates
4,2022-01-06 09:00:00,Classical Pilates
7,2022-01-06 09:00:00,Classical Pilates
12,2022-01-06 09:00:00,Classical Pilates
24,2022-01-06 09:00:00,Classical Pilates
9,2022-01-06 09:00:00,Classical Pilates
19,2022-01-06 12:00:00,Mat Pilates
14,2022-01-06 12:00:00,Mat Pilates
7,2022-01-06 12:00:00,Mat Pilates
24,2022-01-06 12:00:00,Mat Pilates
4,2022-01-06 12:00:00,Mat Pilates
16,2022-01-06 12:00:00,Mat Pilates
20,2022-01-06 16:00:00,Reformer Pilates
9,2022-01-06 16:00:00,Reformer Pilates
4,2022-01-06 16:00:00,Reformer Pilates
24,2022-01-06 16:00:00,Reformer Pilates
3,2022-01-06 16:00:00,Reformer Pilates
8,2022-01-06 16:00:00,Reformer Pilates
9,2022-01-06 18:00:00,Prenatal Pilates
16,2022-01-06 18:00:00,Prenatal Pilates
4,2022-01-06 18:00:00,Prenatal Pilates
